| 汉字写法      | 假名写法       | 含义                     | 罗马音             | 例句                      |
| 迷惑        | めいわく１      | 麻烦，烦扰                  | meiwaku         | ご迷惑をおかけまして、どうもすみません。    |
| 有名        | ゆうめい０      |                        | yuumei          |                         |
| 名探偵       | めいたんてい     |                        | meitantei       |                         |
| 夢         | ゆめ２        | 幻想，梦想                  | yume            | 夢がある                    |
| 進め        | すすめ        | 前进                     | susume          |                         |
| おすすめ      | おすすめ       | 推荐                     | osusume         |                         |
| 運命        | うんめい１      | 命运                     | unmei           |                         |
| 決める       | きめる        | 决定                     | kimeru          | 君にきめた！                  |
| ポケモン      | ポケモン       | 宝可梦                    | pokemon         |                         |
| 桃         | もも０        |                        | momo            |                         |
| 友達        | ともだち０      | 朋友                     | tomodati        |                         |
| 共に        | ともに        |                        | tomoni          | 相棒（あいぼう）と　ともに           |
| 気持ち       | きもち⓪       | 感受，心情                  | kimoti          | 気持ちが いい                 |
| でも        | でも１        | 可是 举例的说法               | demo            | お茶でも どうぞ                |
| いつも       | いつも１       | 总是 老是                  | itumo           | 真実は いつも ひとつ             |
| もう        | もう１        | 再 快要 已经                | mou             | もういい                    |
| 木曜日       | もくようび３     | 星期四                    | mokuyoubi       |                         |
| 思う        | おもう2       | 思考 感觉 判断 think         | omou            |                         |
| 思い出       | おもいで⓪      | 回忆                     | omoide          |                         |
| もし（も）     | もし（も）1     | 如果                     | mosimo          |                         |
| もしもし      | もしもし       | 喂                      | mosimosi        |                         |
| どうも       | どうも１       | 总觉得 谢谢 （多接否定）怎么也……     | doumo           | どうもできません                |
| 持つ        | もつ１        |                        | motu            |                         |
| もっと       | もっと１       | 更                      | motto           | もっと はやい                 |
| もの        | もの         | 物・者                    | mono            |                         |
| 先輩        | せんぱい０      |                        | senpai          |                         |
| 食べ物       | たべもの2      |                        | tabemono        |                         |
| 飲み物       | のみもの2      |                        | nomimono        |                         |
| 生き物       | いきもの2      |                        | ikimono         | いきものがかり                 |
| 若者        | わかもの０      | 年轻人，青年                 | wakamono        |                         |
| 毛利        | もうり１       |                        | mouri           | 毛利探偵（たんてい）事務所           |
| 森         | もり０        | 森林                     | mori            |                         |
| 問題        | もんだい０      |                        | mondai          |                         |
| 最も        | もっとも３１     |                        | mottomo         |                         |
| 戻る        | もどる２       | 返回                     | modoru          |                         |
| 雲         | くも１        | 云                      | kumo            |                         |
| ラーメン      | ラーメン１      | 拉面                     | ra-men          |                         |
| 力         | ちから３       | 力量                     | tikara          |                         |
| ～たら       | ～たら        | 如果 一……就…… ……的话         | tara            | 張さんたら できますよ             |
| ～から       | ～から        | 开始，从，因为                | kara            | 君に いるから                 |
| 柔らかい      | やわらかい4     | 柔软的                    | yawarakai       |                         |
| 新しい       | あたらしい4     |                        | atarasii        |                         |
| 知らない      | しらない       | 不知道                    | siranai         | あの日見た花の名前を僕達はまだ知らない     |
| わからない     | わからない      | 不知道                    | wakaranai       | わかりません                  |
| もらう       | もらう        | 得到                     | morau           | 写真を取って もらいませんか          |
| 体         | からだ０       | 身体                     | karada          | 柔らかい体                   |
| 選ぶ        | えらぶ２       | 选择                     | erabu           |                         |
| 諦める       | あきらめる      | 放弃                     | akirameru       | 諦めない                    |
| いってらっしゃい  | いってらっしゃい   |                        | itterasshai     | 行く くる いる                |
| 戻らない      | もどらない４     |                        | modoranai       | 戻らないと 言って               |
| 空         | そら１        | 天空                     | sora            | 蒼い蒼いあの空                 |
| 青空        | あおぞら       | 蓝天                     | aozora          |                         |
| 来年        | らいねん       |                        | rainen          |                         |
| ほら        | ほら１        | 唤起听话人的注意               | hora            |                         |
| さよなら      | さよなら       | 再见                     | sayonara        |                         |
| こちらこそ     | こちらこそ4     | 彼此彼此                   | kotirakoso      | いえ、こちらこそ                |
| いらっしゃいませ  | いらっしゃいませ   | 欢迎光临；您来了               | irashaimase     |                         |
| いってきます    | いってきます     | 我走了                    | ittekimasu      |                         |
| 灰原        | はいばら       | 灰原                     | haibara         |                         |
| 留学生       | りゅうがくせい３４  |                        | ryuugakusei     |                         |
| 料理        | りょうり１      |                        | ryouri          |                         |
| 理由        | りゆう０       |                        | riyuu           | 強(つよ)くなれる 理由を知った        |
| 無理        | むり１        | 难以办成，勉强                | muri            |                         |
| 無料        | むりょう０      | 免费                     | muryou          |                         |
| 有料        | ゆうりょう      | 收费                     | yuuryou         |                         |
| 一人        | ひとり        |                        | hitori          |                         |
| 二人        | ふたり        |                        | futari          |                         |
| 力士        | りきし１       | 相扑 大力士                 | rikisi          |                         |
| 気に入り      | きにいり０      | 喜欢；中意                  | kiniiri         | 気に入りましたか                |
| 便利        | べんり１       |                        | benri           |                         |
| ありがとう     | ありがとう      |                        | arigatou        | ありがとうございます              |
| 光         | ひかり        |                        | hikari          | 光を信じてる                  |
| 旅行        | りょこう０      |                        | ryokou          |                         |
| 理解不能      | りかいふのう     |                        | rikaifunou      |                         |
| 来る        | くる１        |                        | kuru            |                         |
| ルール       | ルール        | rule                   | ru-ru           |                         |
| うるさい      | うるさい３      | 吵闹的                    | urusai          |                         |
| 種類        | しゅるい１      |                        | shurui          |                         |
| する        | する         | 3类动词                   | suru            | します して                  |
| 守る        | まもる2       |                        | mamoru          |                         |
| 連れる       | つれる        | 连，带                    | tsureru         | 僕を連れて進め                 |
| 忘れる       | わすれる０      |                        | wasureru        | 忘れないでください               |
| 俺         | おれ０        |                        | ore             |                         |
| 誰         | だれ         |                        | dare            |                         |
| 例         | れい         |                        | rei             |                         |
| 晴れ        | はれ２        | 晴天                     | hare            |                         |
| 歴史        | れきし0       |                        | nekisi          |                         |
| お疲れ様      | おつかれさま     | 辛苦了                    | otukaresama     |                         |
| 失礼        | しつれい２      | 请原谅                    | sitsurei        | お先に 失礼します               |
| 嬉しい       | うれしい       | 快乐的                    | uresii          |                         |
| これ        | これ         | 这                      | kore            | これから                    |
| 冷蔵庫       | れいぞうこ③     | 冰箱                     | reizouko        |                         |
| 練習        | れんしゅう０     |                        | renshuu         |                         |
| 訓練        | くんれん１      |                        | kunren          |                         |
| 鍛錬        | たんれん０      |                        | tanren          |                         |
| 広い        | ひろい        | 广阔的                    | hiroi           |                         |
| 馬鹿野郎      | ばかやろう④     |                        | bakayarou       |                         |
| 小五郎       | こごろう       |                        | kogorou         | 炭治郎                     |
| よろしく      | よろしく0      | 适当地 请关照                | yorosiku        |                         |
| どうぞよろしく   | どうぞよろしく    | 请关照                    | douzoyorosiku   |                         |
| 六         | ろく２        |                        | roku            |                         |
| 老人        | ろうじん０      |                        | roujin          |                         |
| 城         | しろ⓪        | 城，城堡                   | siro            |                         |
| 白い        | しろい        |                        | siroi           | 白い 白い あの雲（くも）           |
| 黒い        | くろい        |                        | kuroi           |                         |
| 素人        | しろうと１２     | 外行，没有经验的人              | sirouto         |                         |
| 玄人        | くろうと１２     | 内行，行家                  | kurouto         |                         |
| 色         | いろ２        |                        | iro             | 金色（きんいろ）                |
| 色々        | いろいろ０      | 各种各样的                  | iroiro          |                         |

